Rating,movieId
3.0,275245
5.0,130424
5.0,270698
3.0,275243
1.0,268642
5.0,202439
5.0,201646
3.0,101285
3.0,103137
4.0,140174
5.0,177651
3.0,177615
3.0,180367
4.0,271865
2.0,174055
5.0,168492
4.0,183611
3.0,183869
4.0,192283
3.0,192385
3.0,197711
3.0,192803
5.0,204698
5.0,208703
5.0,207313
5.0,209315
4.0,218537
3.0,226202
1.0,217465
1.0,254726
5.0,7451
3.0,1968
4.0,200306
5.0,54256
3.0,40629
4.0,80549
4.0,55247
3.0,184997
2.0,244178
4.0,245136
3.0,269146
4.0,277112
3.0,270406
3.0,269638
3.0,274779
2.0,235435
3.0,255655
4.0,263973
4.0,224943
3.0,241960
4.0,263407
4.0,252930
4.0,253620
3.0,251662
2.0,222137
4.0,216402
3.0,225565
3.0,223830
3.0,222757
2.0,226720
4.5,272135
5.0,278964
2.5,276897
5.0,277066
3.5,279594
3.5,279162
4.0,221244
2.5,278702
3.5,171763
1.5,106920
3.5,175303
3.5,2572
3.5,189713
3.5,66097
3.0,178061
4.0,213397
3.5,188189
3.5,161922
3.0,198151
3.0,279812
2.0,76251
3.0,283657
2.0,227877
4.0,286879
2.0,193451
3.5,286029
2.5,287385
2.5,275503
5.0,271134
3.0,261809
5.0,288513
4.0,276047
3.0,270346
2.0,6373
4.5,6711
5.0,284195
1.5,8642
2.0,43930
1.5,8366
2.5,269276
1.0,216125
2.0,288703
4.0,113780
4.5,205156
2.5,166534
2.5,226692
2.0,31364
3.0,258451
2.5,103048
2.0,283675
2.5,203278
4.0,111387
3.5,286783
3.0,53002
3.0,157361
2.5,269426
4.0,39183
3.5,8533
3.0,96975
2.0,121413
4.0,274289
2.5,8874
2.5,190945
3.5,3825
1.5,4487
1.5,101262
2.0,127140
3.0,161131
3.0,52458
4.0,281190
3.5,278794
2.5,126548
2.0,207890
3.0,105731
1.0,47997
2.5,282843
3.5,265460
2.5,168250
2.0,162478
3.0,282161
1.0,176801
3.5,97921
1.0,71878
4.0,119141
4.0,224266
2.0,4896
3.0,84950
1.5,1732
0.5,176891
4.0,109374
2.5,288269
2.0,7254
1.5,5816
2.0,8368
2.0,166492
1.0,113604
1.5,102903
3.5,104879
2.5,286131
3.5,280202
4.5,273891
2.5,263405
2.0,466
2.5,242906
4.0,84234
2.5,40815
2.0,54001
3.0,212309
2.0,92439
2.5,212971
2.5,74688
4.0,96821
4.0,7034
0.5,288135
2.0,278314
2.5,441
1.5,281900
